gene_id,batch1,batch2,batch3,chem1,chem2,chem3
YBL027W|RPL19B,0,0,0,0,0,0
YBL026W|LSM2,0,0,0,0,0,0
YBL025W|RRN10,0,0,0,0,0,0
YBL024W|NCL1,0,0,0,0,0,0
YBL023C|MCM2,0,0,0,0,0,0
YBL022C|PIM1,0,0,0,0,0,0
YBL021C|HAP3,0,0,0,0,0,0
YBL020W|RFT1,0,0,0,0,0,0
YBL019W|APN2,0,0,0,0,0,0
YBL018C|POP8,0,0,0,0,0,0
YBL017C|PEP1,0,0,0,0,0,0
YBL016W|FUS3,0,0,0,0,0,0
YBL015W|ACH1,0,0,0,0,0,0
tI(AAU)B|tI(AAU)B,0,0,0,0,0,0
tG(GCC)B|tG(GCC)B,0,0,0,0,0,0
YBL014C|RRN6,0,0,0,0,0,0
YBL013W|FMT1,0,0,0,0,0,0
YBL012C|YBL012C,0,0,0,0,0,0
YBL011W|SCT1,0,0,0,0,0,0
YBL010C|YBL010C,0,0,0,0,0,0
YBL009W|ALK2,0,0,0,0,0,0
YBL008W-A|YBL008W-A,0,0,0,0,0,0
YBL008W|HIR1,0,0,0,0,0,0
YBL007C|SLA1,0,0,0,0,0,0
YBL006C|LDB7,0,0,0,0,0,0
YBL006W-A|YBL006W-A,0,0,0,0,0,0
YBL005W|PDR3,0,0,0,0,0,0
YBL005W-A|YBL005W-A,0,0,0,0,0,0
YBL005W-B|YBL005W-B,0,0,0,0,0,0
tS(AGA)B|tS(AGA)B,0,0,0,0,0,0
YBL004W|UTP20,0,0,0,0,0,0
YBL003C|HTA2,0,0,0,0,0,0
YBL002W|HTB2,0,0,0,0,0,0
YBL001C|ECM15,0,0,0,0,0,0
YBR001C|NTH2,0,0,0,0,0,0
YBR002C|RER2,0,0,0,0,0,0
YBR003W|COQ1,0,0,0,0,0,0
YBR004C|GPI18,0,0,0,0,0,0
YBR005W|RCR1,0,0,0,0,0,0
YBR006W|UGA2,0,0,0,0,0,0
YBR007C|DSF2,0,0,0,0,0,0
YBR008C|FLR1,0,0,0,0,0,0
YBR009C|HHF1,0,0,0,0,0,0
YBR010W|HHT1,0,0,0,0,0,0
YBR011C|IPP1,0,0,0,0,0,0
YBR012C|YBR012C,0,0,0,0,0,0
YBR012W-A|YBR012W-A,0,0,0,0,0,0
YBR012W-B|YBR012W-B,0,0,0,0,0,0
YBR013C|YBR013C,0,0,0,0,0,0
tT(AGU)B|tT(AGU)B,0,0,0,0,0,0
YBR014C|GRX7,0,0,0,0,0,0
YBR015C|MNN2,0,0,0,0,0,0
YBR016W|YBR016W,0,0,0,0,0,0
YBR017C|KAP104,0,0,0,0,0,0
YBR018C|GAL7,0,0,0,0,0,0
YBR019C|GAL10,0,0,0,0,0,0
YBR020W|GAL1,0,0,0,0,0,0
YBR021W|FUR4,0,0,0,0,0,0
YBR022W|POA1,0,0,0,0,0,0
YBR023C|CHS3,0,0,0,0,0,0
YBR024W|SCO2,0,0,0,0,0,0
YBR025C|OLA1,0,0,0,0,0,0
YBR026C|ETR1,0,0,0,0,0,0
YBR027C|YBR027C,0,0,0,0,0,0
YBR028C|YBR028C,0,0,0,0,0,0
YBR029C|CDS1,0,0,0,0,0,0
YBR030W|RKM3,0,0,0,0,0,0
YBR031W|RPL4A,0,0,0,0,0,0
YBR032W|YBR032W,0,0,0,0,0,0
YBR033W|EDS1,0,0,0,0,0,0
YBR034C|HMT1,0,0,0,0,0,0
YBR035C|PDX3,0,0,0,0,0,0
snR161|SNR161,0,0,0,0,0,0
TLC1|TLC1,0,0,0,0,0,0
YBR036C|CSG2,0,0,0,0,0,0
YBR037C|SCO1,0,0,0,0,0,0
YBR038W|CHS2,0,0,0,0,0,0
YBR039W|ATP3,0,0,0,0,0,0
YBR040W|FIG1,0,0,0,0,0,0
YBR041W|FAT1,0,0,0,0,0,0
YBR042C|CST26,0,0,0,0,0,0
YBR043C|QDR3,0,0,0,0,0,0
YBR044C|TCM62,0,0,0,0,0,0
tV(UAC)B|tV(UAC)B,0,0,0,0,0,0
YBR045C|GIP1,0,0,0,0,0,0
YBR046C|ZTA1,0,0,0,0,0,0
YBR047W|FMP23,0,0,0,0,0,0
YBR048W|RPS11B,0,0,0,0,0,0
YBR049C|REB1,0,0,0,0,0,0
YBR050C|REG2,0,0,0,0,0,0
YBR051W|YBR051W,0,0,0,0,0,0
YBR052C|RFS1,0,0,0,0,0,0
YBR053C|YBR053C,0,0,0,0,0,0
YBR054W|YRO2,0,0,0,0,0,0
YBR055C|PRP6,0,0,0,0,0,0
tL(UAA)B2|tL(UAA)B2,0,0,0,0,0,0
YBR056W|YBR056W,0,0,0,0,0,0
tQ(UUG)B|tQ(UUG)B,0,0,0,0,0,0
YBR056W-A|YBR056W-A,0,0,0,0,0,0
YBR056C-B|YBR056C-B,0,0,0,0,0,0
YBR057C|MUM2,0,0,0,0,0,0
YBR058C|UBP14,0,0,0,0,0,0
YBR058C-A|TSC3,0,0,0,0,0,0
YBR059C|AKL1,0,0,0,0,0,0
YBR060C|ORC2,0,0,0,0,0,0
YBR061C|TRM7,0,0,0,0,0,0
YBR062C|YBR062C,0,0,0,0,0,0
YBR063C|YBR063C,0,0,0,0,0,0
YBR064W|YBR064W,0,0,0,0,0,0
YBR065C|ECM2,0,0,0,0,0,0
YBR066C|NRG2,0,0,0,0,0,0
YBR067C|TIP1,0,0,0,0,0,0
YBR068C|BAP2,0,0,0,0,0,0
YBR069C|TAT1,0,0,0,0,0,0
YBR070C|ALG14,0,0,0,0,0,0
YBR071W|YBR071W,0,0,0,0,0,0
YBR072W|HSP26,0,0,0,0,0,0
YBR072C-A|YBR072C-A,0,0,0,0,0,0
YBR073W|RDH54,0,0,0,0,0,0
YBR074W|YBR074W,0,0,0,0,0,0
YBR076W|ECM8,0,0,0,0,0,0
YBR076C-A|YBR076C-A,0,0,0,0,0,0
YBR077C|SLM4,0,0,0,0,0,0
YBR078W|ECM33,0,0,0,0,0,0
YBR079C|RPG1,0,0,0,0,0,0
YBR080C|SEC18,0,0,0,0,0,0
YBR081C|SPT7,0,0,0,0,0,0
tR(UCU)B|tR(UCU)B,0,0,0,0,0,0
tD(GUC)B|tD(GUC)B,0,0,0,0,0,0
YBR082C|UBC4,0,0,0,0,0,0
YBR083W|TEC1,0,0,0,0,0,0
YBR084W|MIS1,0,0,0,0,0,0
YBR084C-A|RPL19A,0,0,0,0,0,0
YBR085W|AAC3,0,0,0,0,0,0
YBR085C-A|YBR085C-A,0,0,0,0,0,0
YBR086C|IST2,0,0,0,0,0,0
YBR087W|RFC5,0,0,0,0,0,0
YBR088C|POL30,0,0,0,0,0,0
YBR089W|YBR089W,0,0,0,0,0,0
YBR089C-A|NHP6B,0,0,0,0,0,0
YBR090C|YBR090C,0,0,0,0,0,0
YBR091C|TIM12,0,0,0,0,0,0
YBR092C|PHO3,0,0,0,0,0,0
YBR093C|PHO5,0,0,0,0,0,0
YBR094W|PBY1,0,0,0,0,0,0
YBR095C|RXT2,0,0,0,0,0,0
YBR096W|YBR096W,0,0,0,0,0,0
YBR097W|VPS15,0,0,0,0,0,0
YBR098W|MMS4,0,0,0,0,0,0
YBR099C|YBR099C,0,0,0,0,0,0
YBR101C|FES1,0,0,0,0,0,0
YBR102C|EXO84,0,0,0,0,0,0
YBR103W|SIF2,0,0,0,0,0,0
YBR103C-A|YBR103C-A,0,0,0,0,0,0
YBR104W|YMC2,0,0,0,0,0,0
YBR105C|VID24,0,0,0,0,0,0
YBR106W|PHO88,0,0,0,0,0,0
YBR107C|IML3,0,0,0,0,0,0
YBR108W|AIM3,0,0,0,0,0,0
YBR109C|CMD1,0,0,0,0,0,0
YBR109W-A|YBR109W-A,0,0,0,0,0,0
YBR110W|ALG1,0,0,0,0,0,0
YBR111C|YSA1,0,0,0,0,0,0
YBR111W-A|SUS1,0,0,0,0,0,0
YBR112C|CYC8,0,0,0,0,0,0
YBR113W|YBR113W,0,0,0,0,0,0
YBR114W|RAD16,0,0,0,0,0,0
YBR115C|LYS2,0,0,0,0,0,0
YBR116C|YBR116C,0,0,0,0,0,0
YBR117C|TKL2,0,0,0,0,0,0
YBR118W|TEF2,0,0,0,0,0,0
